Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,15.63198566,16.29766655,15.37948704,15.9763031,15.04291344,831759
2002-07-02,15.37948704,16.34357452,15.37948704,16.29766655,15.3455019,664008
2002-07-03,16.52721024,16.52721024,16.04516792,16.13698387,15.19420624,564071
2002-07-04,16.41243744,16.64198112,16.18289375,16.52721024,15.56163311,1127138
2002-07-05,16.0910759,16.27471161,15.60903168,15.70084953,14.78355312,886627
2002-07-08,15.72380447,15.93039417,15.49425983,15.60903168,14.69709778,561511
2002-07-09,15.74675941,15.7697134,15.35653305,15.40244198,14.50257874,645430
2002-07-10,15.70084953,15.81562233,15.31062412,15.35653305,14.45935249,824759
2002-07-11,15.60903168,15.60903168,14.92039776,14.96630669,14.09192371,1085298
2002-07-12,15.24176025,15.24176025,14.66789913,14.73676205,13.875790599999998,1190587
2002-07-15,14.69085312,14.85153484,14.53017235,14.59903622,13.74611092,601900
2002-07-16,14.20880985,14.69085312,14.20880985,14.57608128,13.72449589,481133
2002-07-17,14.50721836,14.66789913,14.25471878,14.34653664,13.50836372,481361
2002-07-18,14.73676205,14.80562592,14.46130943,14.50721836,13.65965652,242271
2002-07-19,14.64494514,14.66789913,14.46130943,14.50721836,13.65965652,268673
2002-07-22,14.59903622,14.64494514,14.23176384,14.43835354,13.59481525,422784
2002-07-23,14.46130943,14.46130943,14.02517414,14.27767277,13.44352245,476780
2002-07-24,14.323581699999998,14.323581699999998,14.00222015,14.13994598,13.31384277,245518
2002-07-25,14.46130943,14.69085312,14.30062771,14.323581699999998,13.4867487,386192
2002-07-26,14.04812908,14.23176384,13.84153843,14.00222015,13.18416309,429509
2002-07-29,14.46130943,14.46130943,13.88744736,14.00222015,13.18416309,482230
2002-07-30,14.46130943,14.46130943,13.93335629,13.97926521,13.16254902,458984
2002-07-31,14.00222015,14.50721836,13.45131302,14.39244461,13.55159092,930917
2002-08-01,14.23176384,14.27767277,13.72676563,13.88744736,13.07609653,605368
2002-08-02,13.81858444,13.9104023,13.680856699999998,13.84153843,13.03286839,275205
2002-08-05,13.9104023,14.00222015,13.81858444,13.86449337,13.05448151,130495
2002-08-06,13.93335629,13.93335629,13.72676563,13.77267456,12.96802902,265438
2002-08-07,13.97926521,14.02517414,13.680856699999998,13.77267456,12.96802902,289381
2002-08-08,13.93335629,13.93335629,13.70381165,13.77267456,12.96802902,179076
2002-08-09,13.74972057,13.86449337,13.70381165,13.77267456,12.96802902,220985
2002-08-12,13.77267456,13.9104023,13.680856699999998,13.88744736,13.07609653,162112
2002-08-13,13.84153843,14.00222015,13.77267456,13.93335629,13.11932182,69346
2002-08-14,13.84153843,14.00222015,13.84153843,13.9104023,13.0977087,80766
2002-08-15,13.9104023,13.9104023,13.9104023,13.9104023,13.0977087,0
2002-08-16,14.00222015,14.57608128,13.88744736,14.39244461,13.55159092,323878
2002-08-19,14.323581699999998,14.92039776,14.13994598,14.80562592,13.94063187,373866
2002-08-20,15.05812454,15.42539597,14.73676205,15.19585228,14.30806065,650490
2002-08-21,15.49425983,15.49425983,14.69085312,15.26471519,14.37290001,272707
2002-08-22,15.37948704,15.37948704,14.75971699,14.8285799,13.96224403,186360
2002-08-23,14.92039776,15.14994335,14.73676205,14.94335175,14.07031059,168751
2002-08-26,15.05812454,15.14994335,14.78267097,14.85153484,13.98385715,95105
2002-08-27,14.85153484,14.94335175,14.71380806,14.73676205,13.875790599999998,127986
2002-08-28,14.8285799,14.8285799,14.43835354,14.66789913,13.81095028,175578
